,JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
12,10014,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
13,10016,17,12,0.71,5,0.29,0,0,17,100,0,0.0,9,0.53,0,0.0,0,0.0,0,0.0,8,0.47,0,0.0,0,0.0,17,100,0,0.0,17,1.0,0,0.0,0,0,17,100,9,0.53,8,0.47,0,0,17,100
14,10017,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
15,10018,3,2,0.67,1,0.33,0,0,3,100,0,0.0,0,0.0,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3,100,1,0.33,2,0.67,0,0.0,0,0,3,100,0,0.0,3,1.0,0,0,3,100
16,10019,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
17,10020,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
18,10021,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
19,10022,1,1,1.0,0,0.0,0,0,1,100,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100,0,0.0,1,1.0,0,0.0,0,0,1,100,0,0.0,1,1.0,0,0,1,100
20,10023,7,5,0.71,2,0.29,0,0,7,100,0,0.0,3,0.43,0,0.0,1,0.14,0,0.0,3,0.43,0,0.0,0,0.0,7,100,0,0.0,7,1.0,0,0.0,0,0,7,100,5,0.71,2,0.29,0,0,7,100
21,10024,4,4,1.0,0,0.0,0,0,4,100,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,0,0.0,0,0.0,1,0.25,4,100,0,0.0,4,1.0,0,0.0,0,0,4,100,1,0.25,3,0.75,0,0,4,100
22,10025,27,17,0.63,10,0.37,0,0,27,100,0,0.0,15,0.56,0,0.0,0,0.0,0,0.0,11,0.41,1,0.04,0,0.0,27,100,3,0.11,24,0.89,0,0.0,0,0,27,100,8,0.3,19,0.7,0,0,27,100
23,10026,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
24,10027,7,4,0.57,3,0.43,0,0,7,100,0,0.0,1,0.14,0,0.0,1,0.14,0,0.0,4,0.57,1,0.14,0,0.0,7,99,1,0.14,6,0.86,0,0.0,0,0,7,100,1,0.14,6,0.86,0,0,7,100
25,10028,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
26,10029,20,13,0.65,7,0.35,0,0,20,100,0,0.0,4,0.2,0,0.0,0,0.0,0,0.0,15,0.75,1,0.05,0,0.0,20,100,0,0.0,20,1.0,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100
27,10030,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
28,10031,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
29,10032,13,4,0.31,9,0.69,0,0,13,100,0,0.0,9,0.69,0,0.0,1,0.08,0,0.0,2,0.15,1,0.08,0,0.0,13,100,1,0.08,12,0.92,0,0.0,0,0,13,100,5,0.38,8,0.62,0,0,13,100
30,10033,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
31,10034,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
32,10035,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
33,10036,2,2,1.0,0,0.0,0,0,2,100,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,100,0,0.0,2,1.0,0,0.0,0,0,2,100,2,1.0,0,0.0,0,0,2,100
34,10037,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
35,10038,16,11,0.69,5,0.31,0,0,16,100,0,0.0,2,0.13,0,0.0,9,0.56,0,0.0,5,0.31,0,0.0,0,0.0,16,100,1,0.06,15,0.94,0,0.0,0,0,16,100,3,0.19,13,0.81,0,0,16,100
36,10039,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
37,10040,5,4,0.8,1,0.2,0,0,5,100,0,0.0,3,0.6,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,5,100,0,0.0,5,1.0,0,0.0,0,0,5,100,2,0.4,3,0.6,0,0,5,100
38,10044,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
39,10045,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
40,10065,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
41,10115,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
42,10119,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
43,10128,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
44,10154,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
45,10278,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
46,10280,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
47,10301,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
48,10302,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
49,10303,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
50,10304,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
51,10305,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
52,10306,1,0,0.0,1,1.0,0,0,1,100,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100,0,0.0,1,1.0,0,0.0,0,0,1,100,0,0.0,1,1.0,0,0,1,100
53,10307,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
54,10309,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
55,10310,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
56,10312,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
57,10314,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
58,10451,41,21,0.51,20,0.49,0,0,41,100,0,0.0,22,0.54,0,0.0,1,0.02,0,0.0,15,0.37,2,0.05,1,0.02,41,100,3,0.07,38,0.93,0,0.0,0,0,41,100,12,0.29,29,0.71,0,0,41,100
59,10452,17,12,0.71,5,0.29,0,0,17,100,0,0.0,10,0.59,0,0.0,0,0.0,0,0.0,5,0.29,1,0.06,1,0.06,17,100,0,0.0,17,1.0,0,0.0,0,0,17,100,3,0.18,14,0.82,0,0,17,100
60,10453,14,7,0.5,7,0.5,0,0,14,100,0,0.0,6,0.43,0,0.0,0,0.0,0,0.0,8,0.57,0,0.0,0,0.0,14,100,2,0.14,12,0.86,0,0.0,0,0,14,100,8,0.57,6,0.43,0,0,14,100
61,10454,18,8,0.44,10,0.56,0,0,18,100,0,0.0,7,0.39,0,0.0,1,0.06,0,0.0,10,0.56,0,0.0,0,0.0,18,100,1,0.06,17,0.94,0,0.0,0,0,18,100,8,0.44,10,0.56,0,0,18,100
62,10455,27,17,0.63,10,0.37,0,0,27,100,0,0.0,5,0.19,0,0.0,0,0.0,0,0.0,20,0.74,2,0.07,0,0.0,27,100,1,0.04,25,0.93,1,0.04,0,0,27,100,7,0.26,20,0.74,0,0,27,100
63,10456,5,3,0.6,2,0.4,0,0,5,100,0,0.0,3,0.6,1,0.2,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,5,100,0,0.0,5,1.0,0,0.0,0,0,5,100,1,0.2,4,0.8,0,0,5,100
64,10457,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
65,10458,52,25,0.48,27,0.52,0,0,52,100,0,0.0,24,0.46,0,0.0,0,0.0,1,0.02,23,0.44,3,0.06,1,0.02,52,100,3,0.06,48,0.92,1,0.02,0,0,52,100,19,0.37,33,0.63,0,0,52,100
66,10459,7,5,0.71,2,0.29,0,0,7,100,0,0.0,3,0.43,0,0.0,0,0.0,0,0.0,4,0.57,0,0.0,0,0.0,7,100,2,0.29,5,0.71,0,0.0,0,0,7,100,3,0.43,4,0.57,0,0,7,100
67,10460,27,20,0.74,7,0.26,0,0,27,100,0,0.0,9,0.33,0,0.0,0,0.0,1,0.04,15,0.56,2,0.07,0,0.0,27,100,2,0.07,25,0.93,0,0.0,0,0,27,100,14,0.52,13,0.48,0,0,27,100
68,10461,49,26,0.53,23,0.47,0,0,49,100,1,0.02,21,0.43,1,0.02,1,0.02,1,0.02,18,0.37,5,0.1,1,0.02,49,100,1,0.02,48,0.98,0,0.0,0,0,49,100,21,0.43,28,0.57,0,0,49,100
69,10462,3,2,0.67,1,0.33,0,0,3,100,0,0.0,1,0.33,0,0.0,0,0.0,0,0.0,2,0.67,0,0.0,0,0.0,3,100,0,0.0,2,0.67,1,0.33,0,0,3,100,3,1.0,0,0.0,0,0,3,100
70,10463,59,33,0.56,26,0.44,0,0,59,100,0,0.0,36,0.61,0,0.0,0,0.0,2,0.03,18,0.31,3,0.05,0,0.0,59,100,3,0.05,54,0.92,2,0.03,0,0,59,100,20,0.34,39,0.66,0,0,59,100
71,10464,15,7,0.47,8,0.53,0,0,15,100,0,0.0,7,0.47,0,0.0,1,0.07,0,0.0,7,0.47,0,0.0,0,0.0,15,100,0,0.0,15,1.0,0,0.0,0,0,15,100,7,0.47,8,0.53,0,0,15,100
72,10465,21,17,0.81,4,0.19,0,0,21,100,0,0.0,14,0.67,0,0.0,1,0.05,4,0.19,2,0.1,0,0.0,0,0.0,21,100,1,0.05,20,0.95,0,0.0,0,0,21,100,5,0.24,16,0.76,0,0,21,100
73,10466,65,39,0.6,26,0.4,0,0,65,100,1,0.02,14,0.22,0,0.0,0,0.0,0,0.0,50,0.77,0,0.0,0,0.0,65,100,3,0.05,62,0.95,0,0.0,0,0,65,100,17,0.26,48,0.74,0,0,65,100
74,10467,106,65,0.61,41,0.39,0,0,106,100,0,0.0,51,0.48,1,0.01,4,0.04,1,0.01,47,0.44,2,0.02,0,0.0,106,100,10,0.09,94,0.89,2,0.02,0,0,106,100,33,0.31,73,0.69,0,0,106,100
75,10468,81,46,0.57,35,0.43,0,0,81,100,0,0.0,35,0.43,0,0.0,3,0.04,0,0.0,36,0.44,7,0.09,0,0.0,81,100,2,0.02,79,0.98,0,0.0,0,0,81,100,23,0.28,58,0.72,0,0,81,100
76,10469,10,7,0.7,3,0.3,0,0,10,100,0,0.0,4,0.4,0,0.0,0,0.0,1,0.1,5,0.5,0,0.0,0,0.0,10,100,2,0.2,8,0.8,0,0.0,0,0,10,100,4,0.4,6,0.6,0,0,10,100
77,10471,43,24,0.56,19,0.44,0,0,43,100,0,0.0,27,0.63,0,0.0,1,0.02,2,0.05,12,0.28,1,0.02,0,0.0,43,100,2,0.05,41,0.95,0,0.0,0,0,43,100,17,0.4,26,0.6,0,0,43,100
78,10472,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
79,10473,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
80,10474,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
81,10475,20,12,0.6,8,0.4,0,0,20,100,0,0.0,7,0.35,0,0.0,0,0.0,1,0.05,12,0.6,0,0.0,0,0.0,20,100,2,0.1,18,0.9,0,0.0,0,0,20,100,8,0.4,12,0.6,0,0,20,100
82,10514,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
83,10543,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
84,10553,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
85,10573,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
86,10701,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
87,10705,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
88,10911,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
89,10965,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
90,10977,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
91,11001,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
92,11021,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
93,11050,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
94,11101,1,0,0.0,1,1.0,0,0,1,100,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100,0,0.0,1,1.0,0,0.0,0,0,1,100,0,0.0,1,1.0,0,0,1,100
95,11102,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
96,11103,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
97,11104,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0
